"","Month","P_mean","P_sd","P_max","P_min","P_med","P_mod","Tm_mean","Tm_sd","Tm_max","Tm_min","Tm_med","Tm_mod","Tmax_mean","Tmax_sd","Tmax_max","Tmax_min","Tmax_med","Tmax_mod","Tmin_mean","Tmin_sd","Tmin_max","Tmin_min","Tmin_med","Tmin_mod","RH_mean","RH_sd","RH_max","RH_min","RH_med","RH_mod","Qg_mean","Qg_sd","Qg_max","Qg_min","Qg_med","Qg_mod","Wind_mean","Wind_sd","Wind_max","Wind_min","Wind_med","Wind_mod"
"1",1,274.5041599167,11.8391743989889,92.0585448,0,5.1429779532,0,20.1659041218638,1.61804990243295,24.7495,14.465,20.2615,20.1765,24.4225958781362,2.98245701892297,32.036,15.66,24.541,25.396,15.9092123655914,1.6395164579372,19.786,8.185,15.9715,14.492,89.420251666978,5.58325008321393,97.7061758505809,61.4269289647097,90.4943110179783,89.3323866453464,20.9376840590967,8.57385146594064,33.8436162,1.103330831328,22.88143467,31.0827897,1.78281206636246,0.470666904626935,4.02087146949426,0.722750507591422,1.71252672134364,1.58938521419248
"2",2,212.6530232058,11.7558497784148,141.567426,0,3.98769066,0,19.9663700396825,1.41569265559635,23.8355,14.541,20.0595,20.632,24.4925396825397,2.51226856901737,31.315,15.837,24.7505,20.64,15.4402003968254,1.70831729478519,20.577,8.94600000000003,15.561,14.006,89.3222876735242,5.17932928709262,97.9189969654273,69.7785280470351,89.8771777726382,90.3021245633485,21.626496744816,7.63316701214117,32.108660142408,1.248018678,23.346675315,23.4559134,1.63969323547967,0.406622076128211,3.34130113551009,0.778136236702911,1.57407241693013,2.53514292273084
"3",3,171.4464932222,10.1284673282386,132.6358962,0,2.5457373504,0,19.2913857526882,1.46694010508726,23.6805,14.156,19.3805,19.567,23.7480053763441,2.48277078255635,29.877,15.097,23.868,24.443,14.8347661290323,1.91099231564575,19.231,6.87200000000001,15.043,13.86,89.9619667138552,4.35895657167966,97.7907108279112,75.6312394627523,90.3503252503132,87.3346867096587,18.5082440143499,6.88787775207673,29.41553808,1.158244092,19.2069554013882,28.62787068,1.60363496904301,0.398892873890956,3.32929506038081,0.683487257467205,1.55361156377365,1.83758582264914
"4",4,76.2494168551,5.85483186754813,100.408242024,0,0.7415771508,0,17.6688018518519,1.77023529237161,22.411,11.381,17.86525,17.1865,22.392012037037,2.39167289819077,28.675,14.036,22.576,23.104,12.9455916666667,2.50048174689724,18.44,4.06400000000002,13.158,15.409,89.0219272100782,4.24337067572858,97.7552173923815,65.0826861556181,89.400833159724,92.6404268554609,15.8536539493677,5.64871464288028,25.2241344,0.746130314988,16.71167718,10.03100796,1.61736108620271,0.414096895183799,3.7106831860147,0.513038091512585,1.5333940740568,1.59744399355179
"5",5,58.6912372025,7.23460750389471,126.4834944,0,0.2806663788,0,15.0628615591398,2.06854483976909,20.2955,3.7535,15.182,16.2415,20.2723996415771,2.58575288144675,27.743,10.132,20.5135,21.787,9.85332347670251,2.97433245722818,17.038,-2.625,10.1705,9.24200000000002,88.1269222199874,4.50705462643078,97.4416462265638,66.7371146869015,88.3146710473367,87.0058185570064,13.2811928876897,5.10965778393509,21.234241137204,1.03190634,14.1163232714118,19.37520198,1.73482054558265,0.468807314752299,3.68951200911284,0.661553706676163,1.68143380729344,2.09916088653003
"6",6,28.0634178628,2.61268834130841,24.4291232736,0,0.0695228472,0,14.3186032407407,2.11296771412285,19.63,4.51099999999999,14.50475,15.44,19.948912962963,2.58859842701192,26.583,10.907,20.2555,21.078,8.68829351851852,2.9980713933563,16.233,-3.28300000000002,8.83099999999999,10.815,85.7920248704169,5.71274816378423,97.3074373398507,61.3180002589043,86.1488841378273,71.1372995706886,13.0974627982515,4.46412354891369,18.64384092,0,14.866121520702,18.64384092,1.77529243156286,0.486549916420137,4.25342544353574,0.503664166218937,1.72511319978754,1.52953411079723
"7",7,28.8729206382,3.11308047368238,36.87458076,0,0.0489234888,0,14.6199269713262,2.16999863989091,19.876,6.35699999999999,14.881,15.364,20.4251998207885,3.02063837615457,27.659,9.13,20.8555,20.393,8.8146541218638,2.67234467959114,15.686,-1.68900000000002,9.0505,9.25200000000001,81.3604176315646,7.29546820262644,96.9642958215721,45.5569818180264,81.9217758905459,85.6976944042935,14.5238840582808,4.52601177693256,20.78544834,1.22422536,16.30751239134,5.60947374,1.91893346668931,0.49978043784744,4.17144684379533,0.760411616051473,1.85689786311042,1.34070240381486
"8",8,23.6251207911086,2.50227848664967,32.344437384,0,0.02746584,0,16.8044976958525,2.41420915543088,24.2975,7.63549999999998,16.9765,17.468,23.3140783410138,3.63001845704255,31.862,9.56700000000001,23.68,23.444,10.2949170506912,2.48072827037055,20.286,1.74000000000001,10.481,12.651,73.8903674595644,9.42613234923511,96.0745625254453,45.2931525392537,74.1520706031731,77.4598337112787,17.9756457373781,4.91146645240496,25.18228476,1.2456,19.55699244,18.0128817,2.05273833553405,0.479646992171739,4.04907557156276,0.87318314142444,1.98964806267959,1.48685006679687
"9",9,60.6746098488343,5.03087070366072,50.18695056,0,0.2454756984,0,18.545739047619,2.81282062339371,24.6735,8.90949999999999,18.89175,20.6855,24.8010904761905,4.46293018054081,35.665,10.691,25.407,24.989,12.2903876190476,2.4445941862022,17.718,2.56400000000002,12.575,13.001,73.9451514363841,11.9529441648238,96.6287962617294,34.1599677410321,75.265893717771,59.2954193267706,19.7673118526057,6.36396153318491,28.046780825328,1.1667375,21.80818476,23.44049856,2.28343436333854,0.515470944416969,4.28584764932823,0.880958685192513,2.23316169017725,2.46246874587736
"10",10,120.142844216331,7.46324781451258,95.29094016,0,0.8651735784,0,19.9517612903226,2.71336868300998,26.2665,11.5925,20.163,20.449,25.8323797235023,4.32804622513378,37.075,12.597,26.032,22.117,14.0711428571429,2.2370503978097,19.798,4.78399999999999,14.222,12.728,77.3144095865536,11.4337830966575,96.7141903379947,32.7867654221038,79.5926927012547,59.2874955679963,21.381794239463,7.01070495733218,31.1796729,1.174949928,23.15643966,22.08526704,2.24168453746983,0.527117043960743,4.61333957330688,0.920025122519407,2.15492617853799,1.89200522504813
