"","Month","P_mean","P_sd","P_max","P_min","P_med","P_mod","Tm_mean","Tm_sd","Tm_max","Tm_min","Tm_med","Tm_mod","Tmax_mean","Tmax_sd","Tmax_max","Tmax_min","Tmax_med","Tmax_mod","Tmin_mean","Tmin_sd","Tmin_max","Tmin_min","Tmin_med","Tmin_mod","RH_mean","RH_sd","RH_max","RH_min","RH_med","RH_mod","Qg_mean","Qg_sd","Qg_max","Qg_min","Qg_med","Qg_mod","Wind_mean","Wind_sd","Wind_max","Wind_min","Wind_med","Wind_mod"
"1",1,355.0661801249,14.3305025467691,108.862434432,0,7.01494101,0,20.0488458781362,1.83138525040964,26.0825,13.74,20.2305,20.2285,24.1743655913978,3.13476602352981,33.651,15.181,24.3905,26.123,15.9233261648746,1.72640749864237,19.341,4.65899999999999,16.08,15.237,90.6833085873292,5.38991014223605,98.8048011198639,60.67618983972,91.7736852242582,91.6662513673435,20.1754434666177,8.82257027597275,33.60696732,0.795688385652,22.28099175,29.465604,1.79923940672268,0.489652730421089,4.24192765675267,0.75802995603004,1.72736172041943,1.56133285397165
"2",2,284.4829153212,13.2692444973775,138.91916232,0,6.217578396,0,19.9221646825397,1.48328244896207,24.007,14.3375,20.011,20.114,24.2696607142857,2.60361461711275,30.905,15.395,24.536,25.541,15.5746686507937,1.67726073297052,20.417,8.18700000000001,15.713,17.216,90.5904546684774,4.89436378822504,98.5601717045223,72.5853995788921,91.3019279145252,93.6044247045348,20.790220407406,8.04958931362039,32.1754975164,0.864280908,22.62886812,16.97540292,1.64506861389427,0.396035349349003,3.39153981632139,0.652875238675468,1.59080853039558,2.06855238609922
"3",3,233.1175547969,11.3730971156611,123.14304,0,4.144762026,0,19.1626756272401,1.6548919983123,24.2205,14.0095,19.29,20.4355,23.4327517921147,2.76795140581882,29.898,15.039,23.6155,23.62,14.8925994623656,1.88789273179913,19.033,7.24000000000001,15.075,15.524,91.4180960537612,4.42250079255992,98.8580284579074,75.0567429915013,92.2136109530437,89.8825897899382,17.5037504366919,7.19285556131775,29.491766985942,0.972675162,18.29426832,26.35498296,1.59915138865391,0.390424385985074,3.28802428680914,0.811826617334074,1.5453678587568,1.75628514741248
"4",4,112.7486989006,6.71805829574173,72.8857296,0,1.4677050564,0,17.5831097222222,1.9317770901172,22.316,11.0395,17.73375,18.0555,22.0515601851852,2.67023049514616,29.339,14.37,22.399,24.382,13.1146592592593,2.47190429618485,18.505,2.41000000000003,13.418,14.119,90.4920820119187,4.57936562659629,98.9779893019785,61.9567805832543,90.7706074974158,94.3564568462784,15.098774567625,6.04984163107632,24.84090072,0.540255206988,16.14397041,9.78327558,1.63245278326397,0.429390610082494,3.72212854417644,0.688618200508297,1.54911505850533,1.51879076647996
"5",5,75.6589882719,7.75239137650126,126.31016592,0,0.5003931276,0,15.0681393369176,2.28855368167019,20.2595,3.23500000000002,15.277,14.2745,19.9416971326165,2.91729912464055,27.518,9.79300000000001,20.236,20.914,10.1945815412186,3.06643770764543,16.872,-3.44,10.633,9.43099999999998,89.5002745644485,4.90568618369514,99.127114442806,62.3700281512371,89.7459774469866,84.3870760149889,12.566290751013,5.38912862313994,20.74314888,0.892530740412,13.41236043,17.07204672,1.77213493934758,0.513056877773252,3.76431067078832,0.6425766751283,1.69792282455643,2.28614998237847
"6",6,44.6718458555,3.69083976742395,34.634395152,0,0.2034187164,0,14.4954694444444,2.22609289806538,19.954,4.86600000000001,14.73675,13.1845,19.6847518518519,2.83878719216935,26.261,9.97899999999999,19.973,19.954,9.30618703703704,2.95298646434248,16.679,-4.02600000000001,9.62550000000001,8.68900000000002,86.9181382564118,6.37688583346405,99.1851730273145,59.6691427945496,87.4720737030072,76.6723551392192,12.5357025262544,4.72670005735386,18.31938858,0,14.5132407568044,18.31938858,1.89615041490085,0.568161549251305,5.64766715348191,0.605620989938238,1.82943541157826,1.17227706766508
"7",7,42.9799087822,3.80831652997598,49.7440392264,0,0.1510620192,0,14.5104569892473,2.50089561642366,20.377,4.9255,14.8955,14.253,19.8764247311828,3.46841388061522,27.807,7.589,20.572,18.319,9.14448924731183,2.82692534729285,14.897,-2.43299999999999,9.46949999999998,9.017,83.1813994463535,8.73479069788564,99.3651394121247,42.2182757317216,84.0223665917441,90.3796024619927,13.5535173466562,5.17748965914078,20.57889654,0.8403442918416,15.54018534,4.87614672,1.97033399144856,0.526880817135987,4.98220828065937,0.877477727324984,1.90417621234537,1.27840477054596
"8",8,33.9533713952229,2.64629867958361,30.1042550664,0,0.1201629744,0,16.6554069124424,2.80937474882474,23.3315,6.791,16.9105,16.2705,22.7560580645161,4.22393337147962,32.957,8.22899999999999,23.45,21.969,10.5547557603687,2.58141172764732,16.321,0.0509999999999877,10.816,12.586,76.4706284276352,10.9272621728799,98.1727969443094,39.7001215377577,76.866934889323,77.202940139983,16.9398764929237,5.76989512530545,24.911040888,1.34375634,19.06138116,19.54850832,2.06092736153823,0.471022891587042,4.48011700421561,0.847121751072235,2.00323264327255,1.68998006176735
"9",9,81.5945156255314,5.91674373349303,65.0158847784,0,0.5836485348,0,18.1314880952381,3.20296220767812,25.5525,7.4145,18.536,16.0685,23.9617876190476,5.09389695109441,35.42,9.18200000000002,24.6755,22.664,12.3011885714286,2.51741176393383,17.074,1.238,12.6405,13.495,77.2793652548608,13.0331364275967,97.4864693144051,35.4358769153001,79.6604719705105,59.8325979708632,18.1426927547246,7.37171990593961,27.972527225328,0.968456448,20.801618415,23.092360128,2.23958912974129,0.522724779482407,4.47079510671465,0.871797045304353,2.19421067419634,2.73520725450674
"10",10,152.059826802034,8.36176332907127,96.84963,0,1.950072948,0,19.4603115207373,3.10527325217439,26.6845,10.6995,19.7915,20.315,24.9539806451613,4.92605781928348,37.104,12.071,25.306,22.919,13.9666423963134,2.35585828548759,19.27,3.56799999999998,14.234,15.664,80.6987810575974,11.81291961056,98.2720322012105,32.5336675148312,83.1321301454005,63.037425444351,19.7097520244592,7.99621606577849,30.97537722,0.925030998,21.87072864,16.91307909,2.18678790972008,0.510143627450245,5.06233856820677,1.07317003866593,2.10628231561817,1.73992993513156
