"","JDAY","P_mean","P_sd","P_max","P_min","P_med","P_mod","Tm_mean","Tm_sd","Tm_max","Tm_min","Tm_med","Tm_mod","Tmax_mean","Tmax_sd","Tmax_max","Tmax_min","Tmax_med","Tmax_mod","Tmin_mean","Tmin_sd","Tmin_max","Tmin_min","Tmin_med","Tmin_mod","RH_mean","RH_sd","RH_max","RH_min","RH_med","RH_mod","Qg_mean","Qg_sd","Qg_max","QG_min","Qg_med","Qg_mod","Wind_mean","Wind_sd","Wind_max","Wind_min","Wind_med","Wind_mod"
"1",1,14.2010233262,21.9484022283276,94.351936752,0.0343322928,5.6253408012,17.070004044,19.601625,1.68588173358716,22.9145,15.2155,19.9245,21.0025,23.3967222222222,2.83694978666586,30.053,17.65,23.4845,26.138,15.8065277777778,1.89770669848954,18.85,10.843,15.7705,15.867,91.0600001045931,5.53839900089568,98.5606861366146,73.9291577115098,92.0674396804032,91.6662513673435,18.2550182327894,9.58093231027054,32.51826648,1.579387608,20.40803136,29.465604,1.9041766459428,0.497218755521875,2.99137357202007,0.982228163423439,1.85087322154723,1.56133285397165
"2",2,11.8860495104,14.5896356479781,72.413604,0.504684828,6.3549031032,6.6123926064,20.2047083333333,1.77810946704237,23.267,14.154,20.3995,21.2805,24.4894722222222,3.08945412178833,30.32,15.181,24.4695,26.007,15.9199444444444,1.61475408024954,19.341,11.714,16.1605,16.554,90.5568624551886,5.33240145423295,98.6177650571527,71.3893293218697,91.6177531504339,92.2953619733781,20.807101690298,8.87272255747813,32.6599308,2.216001016512,22.91644215,27.81433404,1.85506381768223,0.657407014980396,4.24192765675267,1.09928034360943,1.59590097132355,1.09928034360943
"3",3,12.3330130732,13.6029690118823,51.01432308,0.0171661392,7.3737134748,9.496309392,20.0376388888889,1.85242277498998,24.0645,16.3815,20.1835,20.8055,24.0696944444444,3.39611805128355,31.462,17.66,24.1655,23.562,16.0055833333333,1.59498980516222,18.471,11.946,16.256,18.049,91.1236947792398,5.27487850713259,98.1056100621539,77.1639535200234,92.2867119958348,90.2976284989387,17.75642928737,9.10256960436583,31.446457488,1.589006808,18.50425398,20.55650508,1.86651927241981,0.55702883861273,3.20594342033658,1.09478944266079,1.77167319476014,1.74201319827873
"4",4,12.9728081542,12.7332608393802,46.43442864,0.2686498848,9.9924058224,15.1542702,19.8668888888889,1.64692416388469,24.2835,15.4925,19.69675,17.9915,23.9201944444444,2.93741563593816,31.23,16.49,23.6485,20.526,15.8135833333333,1.61539741903612,18.088,11.261,15.853,17.759,90.2469233147331,5.8104253432222,97.5465882450676,74.9059622765672,90.884586681694,95.7269289137451,20.021610753655,8.43206896394131,32.628868927704,2.16078768,21.38088528,10.0327473,1.97830199448446,0.571287356965719,3.51060210192371,1.01789865194067,1.86511425817499,2.27301680388877
"5",5,8.7205643402,7.9500197860311,31.9650696,0,5.5978749,1.696014828,19.7544583333333,1.95609770196758,23.2015,16.065,19.67925,16.5455,24.0228611111111,3.21811946997247,29.915,17.355,24.8315,18.93,15.4860555555556,2.31749675227936,18.789,7.358,15.8965,14.161,89.9769035249887,6.04438100054357,97.9818353265144,75.235440140993,91.3240638914562,93.5233895127225,20.707483668426,9.58130433259643,33.60696732,2.384792571096,23.202792396,9.1473156,1.93813999799458,0.480610497782862,2.92323440341189,1.10917461599306,1.92581418934969,2.09023741123675
"6",6,11.5954174558,14.76548474965,76.50260784,0,6.0544982772,1.555252668,19.9103194444444,1.87945254245097,23.1275,14.821,20.13375,21.464,24.3525,3.376772876156,31.884,17.006,24.4465,17.006,15.4681388888889,1.95157949441366,18.485,11.952,15.638,12.636,90.6702033544414,5.614487013569,97.788835526013,76.5799559231097,92.7536245314826,92.9025743717658,20.865619356308,9.26127926192719,33.0518507976,2.156006448,23.89821003,9.19816866,1.75249150179184,0.384051919840562,2.81600202790906,0.942178372932007,1.72961211291429,1.91383015345886
"7",7,10.0851772694,16.0994563287709,96.9886656,0.1167297624,6.396963228,1.4059063728,20.1661388888889,2.13513232648173,26.0825,13.937,20.34725,13.937,24.4581666666667,3.30405973225148,33.651,17.377,24.67,17.377,15.8741111111111,1.63312875492373,18.514,10.497,16.1125,10.497,90.1234943796518,4.76758831237558,98.2609993528867,79.3836361923449,91.2981759487409,92.9819025235826,22.149116018939,8.27652181891203,31.7329641,1.972933904124,24.793340526,9.08454006,1.79340110844865,0.391150859550616,2.5681711559493,1.08855189770827,1.76032605756316,2.05762802649609
"8",8,9.7114570908,13.671698530556,73.68911244,0.130462848,5.532645528,3.7937168856,20.3715,1.859478951596,23.243,15.0515,20.76425,15.0515,25.0199722222222,2.8121335010589,30.54,18.752,25.309,21.776,15.7230277777778,1.72585888325802,18.209,8.327,15.9865,8.327,89.3528112737297,5.11749507945906,97.9588067633219,78.1747030893845,90.4062353876809,90.849397723129,23.9751898830586,7.61245071954029,31.83023268,1.459912914,26.279322804,26.435472408,1.73976762947881,0.413518345096918,2.72451692822469,1.01693409610449,1.71767731610505,1.8667732251312
"9",9,11.2486135372,13.9419775462608,73.0779984,0.0480651768,7.4483828244,0.738144144,20.3580277777778,1.96263468671377,23.4805,14.5885,20.6445,20.805,24.6164166666667,3.08516041143499,29.751,15.57,24.428,20.165,16.0996388888889,1.88696975754065,18.176,9.07900000000001,16.2995,12.222,90.7295530224587,4.1641782408917,98.5405629213155,82.0201072597141,90.9782008487036,89.7355464891244,20.603986618976,8.25130992629683,30.6666486,0.795688385652,21.50836658874,19.0550754,1.72850960624744,0.517382510968791,3.73262962942089,1.02722299646902,1.62492468750989,2.09904869532222
"10",10,13.6651980726,18.4860563317145,90.6680466,0,7.8131696184,0.432587088,20.3086944444444,1.71253753359401,23.091,15.6485,20.4675,17.73,24.4300833333333,2.88907804745488,29.315,17.507,25.273,25.273,16.1873055555556,1.37977908831076,18.356,12.532,16.3975,12.532,90.5067076462378,5.06954809935589,98.6358285869019,72.7655467249625,91.3944090149197,85.5555670623997,20.3607140402567,8.16834798724146,30.8851353,0.824330867328,22.396185729,22.85583246,1.81542474621722,0.541057851491219,3.34201123458727,0.836017576911422,1.77917115447329,1.60046407773834
"11",11,11.6078381642,16.1558524692975,84.90546,0,7.520484132,4.69064574,20.3401388888889,1.71322878386776,22.8975,14.6495,20.47825,17.435,24.5093611111111,2.89201014770772,29.754,16.611,24.9545,20.286,16.1709166666667,1.45643826557413,18.47,12.688,16.2025,14.584,90.2278840018836,5.5732175019818,97.1587831492345,73.996586684048,91.5725718051622,92.7682698932858,20.9831318816,8.0652068584238,32.1195429,1.675687338,21.05445915,12.69692208,1.77170412400116,0.428626358388775,2.72361571024305,1.00579778767489,1.7634751628456,1.42452756815113
"12",12,9.7783565058,9.68736706540207,38.05045632,0,5.96952468,0,20.0956111111111,2.04836976332438,22.826,14.7555,20.73125,15.8415,24.2743611111111,3.78819040970207,30.983,16.075,24.1765,16.634,15.9168611111111,1.6270679703561,18.682,12.85,15.8885,15.049,90.0527350964024,6.54374027251451,98.8048011198639,71.4438682140969,92.9086095434471,97.8755965920288,19.546020381509,9.62657104358706,32.70766572,2.10150018,19.984611726,2.10150018,1.75314969514871,0.451962277254184,2.98166311507289,1.03932602688057,1.64941998324137,1.12048769616224
