"","JDAY","P_mean","P_sd","P_max","P_min","P_med","P_mod","Tm_mean","Tm_sd","Tm_max","Tm_min","Tm_med","Tm_mod","Tmax_mean","Tmax_sd","Tmax_max","Tmax_min","Tmax_med","Tmax_mod","Tmin_mean","Tmin_sd","Tmin_max","Tmin_min","Tmin_med","Tmin_mod","RH_mean","RH_sd","RH_max","RH_min","RH_med","RH_mod","Qg_mean","Qg_sd","Qg_max","QG_min","Qg_med","Qg_mod","Wind_mean","Wind_sd","Wind_max","Wind_min","Wind_med","Wind_mod"
"1",1,8.9212167686,11.4998339751913,52.2674484264,0.0137329056,4.18167252,8.421714072,19.6631388888889,1.62772098614294,22.8425,16.0045,19.55475,20.1765,23.6045833333333,2.83677216341793,29.395,18.716,23.6595,26.548,15.7216944444444,1.94294771372108,18.958,9.661,15.7335,13.805,89.9202002381048,6.02395995719081,97.2916487146951,68.3604593032144,91.2171708620691,89.3323866453464,18.2319922782894,9.21912758239686,32.1242139,1.951031448,18.34815978,31.0827897,1.9106837132844,0.426017087202377,2.82417067368557,1.21800635018888,1.88849202994383,1.58938521419248
"2",2,7.8627594432,7.89297701416299,37.5972768,0.0411987168,5.7652487352,4.0460635584,20.1782083333333,1.8265473103059,23.3875,14.465,20.3725,21.981,24.5534444444444,3.35941653475246,30.889,15.66,24.4495,27.457,15.8029722222222,1.80243666004996,19.716,11.831,15.889,16.505,89.2641826463291,6.24003876150725,96.698112389583,65.8903768026808,90.7310114646521,89.2883106528539,21.699836121298,9.1766647326723,32.02934076,3.08581758,24.846148545876,29.32954146,1.82692800224136,0.626368018447184,4.02087146949426,1.07452805698924,1.58825377657913,1.07452805698924
"3",3,11.4249952996,15.0352121889018,59.066942868,0.0137329128,5.910299532,3.390311448,20.0710277777778,1.73050673397973,24.5355,16.5245,20.30325,20.2975,24.1121111111111,3.37279184718601,32.036,17.495,23.5785,23.511,16.0299444444444,1.60634011599473,18.562,11.689,16.0355,17.084,90.029097213137,5.91729189745163,97.4413695579883,74.7134463120035,90.8450138653579,89.3092507109445,17.74175759887,8.84379470792054,32.22173862,1.26883152,17.56456497,21.08734398,1.82726726574117,0.540835050489308,3.29339839407453,0.877902156571312,1.74827838538517,1.72781869198138
"4",4,10.3982671797,12.5781617177344,48.55952412,0.0034332264,6.96601818,9.506610792,20.0430416666667,1.70093541649042,23.7185,15.6945,20.12175,18.711,24.1935,3.29199556934262,31.084,16.869,24.9615,21.573,15.8925833333333,1.56757801127362,19.173,12.189,16.1065,15.849,89.0332106426093,6.36714955895705,97.017707335726,72.0964188693667,90.6070553684725,93.6197481993704,20.612575427155,8.96544761689936,32.478145027704,2.42521902,23.994647739,16.3264464,1.9505365927142,0.486462668164741,3.01935142052515,0.946598291739995,1.8812949626345,2.15520539010381
"5",5,5.8706043396,5.30027994617425,19.799423352,0,4.6168331796,0,20.0171666666667,1.7005563711411,23.3275,16.742,19.934,17.8125,24.4760555555556,2.94856334939523,30.636,18.712,25.1165,21.143,15.5582777777778,2.33840629014245,18.775,8.56299999999999,15.919,14.482,88.4595905222322,5.75078439511007,96.110084801186,73.986353028509,88.9933369335573,88.7761235483449,21.692938620526,8.70870481499903,33.8436162,4.80594267,23.92599490902,13.60653732,1.9398636588942,0.435372997653025,2.89805284770288,1.03032664675807,1.97919328933452,2.15429051175744
"6",6,9.0089808164,11.9688709077303,59.0961744,0,4.6863559584,1.428223212,19.9507222222222,1.5998196480695,22.2905,15.566,20.23175,15.566,24.5408333333333,3.12753362891592,30.985,17.676,24.6615,17.676,15.3606111111111,1.87044193827139,19.099,11.331,15.3965,13.456,89.1580962001408,5.96004959223891,97.2203660677412,73.8905632203323,90.9203020235925,90.6119563410297,21.815708236308,8.61523821210148,33.0356507976,3.207316284,23.59200762,10.27597482,1.73284311545067,0.361980896265561,2.38983290514765,0.821483467536293,1.73385831897786,2.26128836177702
"7",7,8.380747829,13.626366916679,80.2757484,0.116729748,5.4519669072,0.5819322096,20.135625,1.75597173087805,24.7495,15.3055,20.32975,15.3055,24.5518055555556,2.94914934776061,31.633,18.834,24.832,18.834,15.7194444444444,1.34989012133675,18.071,11.777,15.9205,11.777,89.1060455365128,4.63123426665827,96.689726252813,77.3809291225909,89.5228634050704,87.4899736741681,22.378529884039,8.14957540924794,31.7027754,1.712890424124,24.44639481,16.20911448,1.71765096594189,0.383213679189212,2.42368708991577,0.930887468153211,1.70597554756955,2.42368708991577
"8",8,6.4126490977,8.80553095308251,43.79597172,0,3.6422259336,1.3338093168,20.6016111111111,1.53239464383182,22.8795,16.1185,21.00775,16.1185,25.3546666666667,2.55927402652728,29.848,20.154,25.871,22.864,15.8485555555556,1.55732603145712,18.146,9.37299999999999,15.923,9.37299999999999,88.091320720422,4.89563147279144,97.059344248988,77.4208706245551,88.8320331799359,86.2883711404912,24.2680379435586,7.47255165207558,32.048344512,3.38748786,26.37706365,30.7014867,1.72615095617605,0.422631046547017,2.66324700544218,0.944731570893913,1.64205805991996,2.2452311446241
"9",9,8.0697411484,12.0598261289589,65.2055652,0.1098632664,5.0082199992,0.2386092816,20.4097916666667,1.73819895858986,23.9735,16.484,20.4645,17.048,24.7864722222222,2.89776754944818,30.349,17.348,24.959,21.505,16.0331111111111,1.79581739093575,19.786,10.5,16.282,17.209,89.2539935251617,4.62444017719977,96.5839081968722,80.7969286933043,89.4635756654475,83.6874779990435,21.086093571976,8.23321928860681,31.22033562,1.142695301652,23.07605679,26.200579608,1.70118186100661,0.438694283295437,3.11622136649707,0.984736780872538,1.56309007140911,2.51289885072167
"10",10,11.3953588986,16.0989207227985,81.4842288,0,6.5317173372,0,20.2747916666667,1.54251119178621,22.963,16.776,20.163,20.163,24.4305,2.74760881495165,28.517,18.898,25.0595,25.83,16.1190833333333,1.37175727496834,18.755,12.626,16.2435,12.626,89.5933401434849,5.34127369487616,97.0538410371822,70.9654466866412,89.5062081600679,82.0730846634871,20.8914100436567,8.77939139262011,31.742261352,1.103330831328,23.23850607,23.27084658,1.73346270432927,0.436563287216078,2.75232744409363,0.923624942603548,1.74789186506385,1.7398446843712
